fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
95-6033,"National Driver Register and Criminal Record Review in Issuing Licenses, Certificates of Registry, or Merchant Mariner's Documents",1995-03-13,https://www.govinfo.gov/content/pkg/FR-1995-03-13/pdf/95-6033.pdf,https://www.federalregister.gov/documents/1995/03/13/95-6033/national-driver-register-and-criminal-record-review-in-issuing-licenses-certificates-of-registry-or,,www.govinfo.gov,Proposed Rule,Merchant Mariner Credential
95-6034,Direct User Fees for Inspection or Examination of U.S. and Foreign Commercial Vessels,1995-03-13,https://www.govinfo.gov/content/pkg/FR-1995-03-13/pdf/95-6034.pdf,https://www.federalregister.gov/documents/1995/03/13/95-6034/direct-user-fees-for-inspection-or-examination-of-us-and-foreign-commercial-vessels,,www.govinfo.gov,Rule,policy letter
95-8123,"Qualifications for Tankermen, and for Persons in Charge of Transfers of Dangerous Liquids and Liquefied Gases",1995-04-04,https://www.govinfo.gov/content/pkg/FR-1995-04-04/pdf/95-8123.pdf,https://www.federalregister.gov/documents/1995/04/04/95-8123/qualifications-for-tankermen-and-for-persons-in-charge-of-transfers-of-dangerous-liquids-and,,www.govinfo.gov,Rule,policy letter
95-9530,"Drawbridge Operation Regulation; Sabine River, LA",1995-04-18,https://www.govinfo.gov/content/pkg/FR-1995-04-18/pdf/95-9530.pdf,https://www.federalregister.gov/documents/1995/04/18/95-9530/drawbridge-operation-regulation-sabine-river-la,,www.govinfo.gov,Rule,policy letter
95-9711,Application for Recertification of Cook Inlet Regional Citizens' Advisory Council,1995-04-20,https://www.govinfo.gov/content/pkg/FR-1995-04-20/pdf/95-9711.pdf,https://www.federalregister.gov/documents/1995/04/20/95-9711/application-for-recertification-of-cook-inlet-regional-citizens-advisory-council,,www.govinfo.gov,Notice,policy letter
95-10538,Alteration of Obstructive Bridges,1995-04-28,https://www.govinfo.gov/content/pkg/FR-1995-04-28/pdf/95-10538.pdf,https://www.federalregister.gov/documents/1995/04/28/95-10538/alteration-of-obstructive-bridges,,www.govinfo.gov,Rule,policy letter
95-10921,"Incorporation of Amendments to the International Convention for Safety of Life at Sea, 1974",1995-05-10,https://www.govinfo.gov/content/pkg/FR-1995-05-10/pdf/95-10921.pdf,https://www.federalregister.gov/documents/1995/05/10/95-10921/incorporation-of-amendments-to-the-international-convention-for-safety-of-life-at-sea-1974,,www.govinfo.gov,Rule,policy letter
95-12733,"Anchorage Grounds; Spa Creek, Annapolis, MD",1995-05-25,https://www.govinfo.gov/content/pkg/FR-1995-05-25/pdf/95-12733.pdf,https://www.federalregister.gov/documents/1995/05/25/95-12733/anchorage-grounds-spa-creek-annapolis-md,,www.govinfo.gov,Rule,policy letter
95-15077,Recreational Inflatable Personal Flotation Device Standards,1995-06-23,https://www.govinfo.gov/content/pkg/FR-1995-06-23/pdf/95-15077.pdf,https://www.federalregister.gov/documents/1995/06/23/95-15077/recreational-inflatable-personal-flotation-device-standards,,www.govinfo.gov,Rule,policy letter
95-18976,"Drawbridge Operation Regulations; Chicago River, Illinois",1995-08-02,https://www.govinfo.gov/content/pkg/FR-1995-08-02/pdf/95-18976.pdf,https://www.federalregister.gov/documents/1995/08/02/95-18976/drawbridge-operation-regulations-chicago-river-illinois,,www.govinfo.gov,Proposed Rule,policy letter
95-18762,Waterfront Facilities Handling Liquefied Hazardous Gas,1995-08-03,https://www.govinfo.gov/content/pkg/FR-1995-08-03/pdf/95-18762.pdf,https://www.federalregister.gov/documents/1995/08/03/95-18762/waterfront-facilities-handling-liquefied-hazardous-gas,,www.govinfo.gov,Rule,policy letter
95-19345,Facsimile Filing of Instruments,1995-08-07,https://www.govinfo.gov/content/pkg/FR-1995-08-07/pdf/95-19345.pdf,https://www.federalregister.gov/documents/1995/08/07/95-19345/facsimile-filing-of-instruments,,www.govinfo.gov,Rule,policy letter
95-21292,Designation of Lightering Zones,1995-08-29,https://www.govinfo.gov/content/pkg/FR-1995-08-29/pdf/95-21292.pdf,https://www.federalregister.gov/documents/1995/08/29/95-21292/designation-of-lightering-zones,,www.govinfo.gov,Rule,policy letter
95-22981,Inspected and Uninspected Commercial Vessels; Removal of Obsolete and Unnecessary Regulations,1995-09-18,https://www.govinfo.gov/content/pkg/FR-1995-09-18/pdf/95-22981.pdf,https://www.federalregister.gov/documents/1995/09/18/95-22981/inspected-and-uninspected-commercial-vessels-removal-of-obsolete-and-unnecessary-regulations,,www.govinfo.gov,Rule,policy letter
95-25711,Standards for Damage Stability of New Domestic Passenger Vessels,1995-10-17,https://www.govinfo.gov/content/pkg/FR-1995-10-17/pdf/95-25711.pdf,https://www.federalregister.gov/documents/1995/10/17/95-25711/standards-for-damage-stability-of-new-domestic-passenger-vessels,,www.govinfo.gov,Rule,policy letter
95-26303,Commercial Fishing Industry Vessel Regulations for Aleutian Trade Act Vessels,1995-10-24,https://www.govinfo.gov/content/pkg/FR-1995-10-24/pdf/95-26303.pdf,https://www.federalregister.gov/documents/1995/10/24/95-26303/commercial-fishing-industry-vessel-regulations-for-aleutian-trade-act-vessels,,www.govinfo.gov,Rule,policy letter
