fr_doc_number,title,publication_date,pdf_url,html_url,inferred_document_number,pdf_host,type,matched_term
03-3978,"Security Zone; St. Thomas, U.S. Virgin Islands",2003-02-19,https://www.govinfo.gov/content/pkg/FR-2003-02-19/pdf/03-3978.pdf,https://www.federalregister.gov/documents/2003/02/19/03-3978/security-zone-st-thomas-us-virgin-islands,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
03-14016,"Security Zone; St. Thomas, U.S. VI",2003-06-04,https://www.govinfo.gov/content/pkg/FR-2003-06-04/pdf/03-14016.pdf,https://www.federalregister.gov/documents/2003/06/04/03-14016/security-zone-st-thomas-us-vi,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
04-16099,"Regulated Navigation Areas, Anchorage Grounds, Safety and Security Zones; Tall Ships Rhode Island 2004, Narragansett Bay, RI",2004-07-15,https://www.govinfo.gov/content/pkg/FR-2004-07-15/pdf/04-16099.pdf,https://www.federalregister.gov/documents/2004/07/15/04-16099/regulated-navigation-areas-anchorage-grounds-safety-and-security-zones-tall-ships-rhode-island-2004,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
05-231,"Security Zones; Charleston Harbor, Cooper River, SC",2005-01-06,https://www.govinfo.gov/content/pkg/FR-2005-01-06/pdf/05-231.pdf,https://www.federalregister.gov/documents/2005/01/06/05-231/security-zones-charleston-harbor-cooper-river-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
05-2218,"Safety Zone; Upper Chesapeake Bay and Its Tributaries and the C & D Canal, Maryland, Virginia, and Washington, DC",2005-02-07,https://www.govinfo.gov/content/pkg/FR-2005-02-07/pdf/05-2218.pdf,https://www.federalregister.gov/documents/2005/02/07/05-2218/safety-zone-upper-chesapeake-bay-and-its-tributaries-and-the-c-and-d-canal-maryland-virginia-and,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
05-3120,"Safety and Security Zones; TOPOFF 3, New London, CT",2005-02-18,https://www.govinfo.gov/content/pkg/FR-2005-02-18/pdf/05-3120.pdf,https://www.federalregister.gov/documents/2005/02/18/05-3120/safety-and-security-zones-topoff-3-new-london-ct,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
05-6143,"Safety and Security Zones; TOPOFF 3, New London, CT",2005-03-28,https://www.govinfo.gov/content/pkg/FR-2005-03-28/pdf/05-6143.pdf,https://www.federalregister.gov/documents/2005/03/28/05-6143/safety-and-security-zones-topoff-3-new-london-ct,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
05-9036,"Security Zones; Charleston Harbor, Cooper River, SC",2005-05-06,https://www.govinfo.gov/content/pkg/FR-2005-05-06/pdf/05-9036.pdf,https://www.federalregister.gov/documents/2005/05/06/05-9036/security-zones-charleston-harbor-cooper-river-sc,,www.govinfo.gov,Proposed Rule,Marine Safety Information Bulletin
05-14857,"Security Zones; Charleston Harbor, Cooper River, SC",2005-07-27,https://www.govinfo.gov/content/pkg/FR-2005-07-27/pdf/05-14857.pdf,https://www.federalregister.gov/documents/2005/07/27/05-14857/security-zones-charleston-harbor-cooper-river-sc,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
05-15076,Safety Zones; Long Island Sound Annual Fireworks Displays,2005-07-29,https://www.govinfo.gov/content/pkg/FR-2005-07-29/pdf/05-15076.pdf,https://www.federalregister.gov/documents/2005/07/29/05-15076/safety-zones-long-island-sound-annual-fireworks-displays,,www.govinfo.gov,Rule,Marine Safety Information Bulletin
